English Text Problem,Section Merged,Section,Topic
Solve gf (x) = -1,Algebra,2-algebra,functions
"
The diagram shows a parallelogram.The sizes of the angles, in degrees, are

Work out the value of .",Algebra,2-algebra,forming-and-solving-equations
"The diagram shows a sector  of a circle with centre  and radius .

 is the point on  and  is the point on  such that Angle Given that
the perimeter of sector the perimeter of triangle 
find the value of .Give your answer correct to 3 significant figures.",Algebra,2-algebra,forming-and-solving-equations
"Complete the table of values for 




-2
-1
-0.5
0
1
1.5
2
3



 
 
4.875
4
 
-1.625
 
 





",Algebra,2-algebra,graphs-of-functions
"Joe draws this graph to identify the region  represented by
    and        and    

Make two criticisms of his graph.",Algebra,2-algebra,graphing-inequalities
" The diagram shows a rectangle with a line of symmetry at .Two vertices of the rectangle are at  and .The shaded region is defined by the inequalities  and  .Find the values of  and .
 ................................................      
 ................................................      
 ................................................      
 ................................................      ",Algebra,2-algebra,graphing-inequalities
"The shaded region in the diagram is bounded by three lines.The equation of one of the lines is given.

Write down three inequalities that define the shaded region.",Algebra,2-algebra,graphing-inequalities
"Here are the first 5 terms of a quadratic sequence.
1   3   7   13   21
Find an expression, in terms of , for the th term of this quadratic sequence.",Algebra,6-algebra,sequences
"The diagram shows the lines  and 

The region R satisfies these inequalities.
                  
By drawing a third straight line, find and label the region R that satisfies these inequalities.",Algebra,2-algebra,graphing-inequalities
Simplify fully ,Algebra,6-algebra,algebraic-fractions
"On the grid below, draw the graph of  for values of  from 
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"This graph shows part of a straight line.

Show that the gradient of the line is 2.5.

",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Point A has coordinates (-4, 6) and point B has coordinates (8, 3).

i)
Find the gradient of line AB.
[2]
ii)
Find the equation of line AB.
[2]",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Theo starts with savings of £18James starts with no savings.
Each week from now,
   Theo will save £4.50 and James will save £4
In how many weeks will Theo and James have savings in the ratio 15 : 8 ?
",Algebra,2-algebra,forming-and-solving-equations
"The straight line  passes through point  (– 6, 2) and point  (5, 3)The straight line  is perpendicular to  and passes through the midpoint of  and .The line  intersects the line  at point .Calculate the area of triangle .
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Solve the simultaneous equations
         ",Algebra,6-algebra,simultaneous-equations
"Company B charges 14.3 pence per kwH of electricity used.If Company B’s cost of electricity was plotted on the same axes as Company A’s cost of electricity, which line would be steeper?Explain how you know.
Company ................ would have the steeper line because ......................................................
",Algebra,2-algebra,real-life-graphs
It is claimed that the car has accelerated from 0 to 60 miles per hour in the first 10 seconds.Does the graph support this claim? Show your reasoning.Use 1 mile = 1.6 kilometres.,Algebra,2-algebra,real-life-graphs
"Water is poured into a tank.
The graph shows the number of litres of water in the tank.

How much water is poured into the tank each minute?Circle your answer.



1.5 litres
15 litres
30 litres
120 litres



",Algebra,2-algebra,real-life-graphs
"Chris visits a library.
He cycles to the library in half an hour at a speed of 12 miles per hour.He stays at the library for one hour.He then cycles home.
The sketch graph represents his visit.

Work out the speed, in miles per hour, at which Chris cycles home.
..........................mph",Algebra,2-algebra,real-life-graphs
"Which of these is a geometric progression?
Circle your answer.



1     3    5    7    9
1     3     6    10    15


1    4     9     16     25
1     3     9     27   81



",Algebra,2-algebra,sequences
"The table shows the first five terms of sequences A, B and C.



Sequence
1st term
2nd term
3rd term
4th term
5th term
6th term


A
3
4
5
6
7
 


B
0
1
4
9
16
 


C
-3
-3
-1
3
9
 




Complete the table for the 6th term of each sequence.",Algebra,2-algebra,sequences
"Yuen says there are no numbers that are in both of the sequences.
Yuen is correct.
Explain why.",Algebra,2-algebra,sequences
The line with equation  intersects the curve with equation  at the points  and Find the coordinates of  and the coordinates of Show clear algebraic working.,Algebra,2-algebra,simultaneous-equations
Write as a single fraction in its simplest form   ,Algebra,2-algebra,algebraic-fractions
" is identical to 
Find the value of  and the value of .
",Algebra,2-algebra,expanding-brackets
"On the grid, draw the graph of   for values of  from 
",Algebra,2-algebra,graphs-of-functions
"i)
Find the value of  and the value of .   2                10   
[3]
 
ii)
Find the value of , the value of  and the value of .
   -33               18
[5]",Algebra,2-algebra,simultaneous-equations
"
Write down the inequality shown on the number line.

",Algebra,2-algebra,solving-inequalities
"Here are the first five terms of a number sequence .

Find an expression, in terms of , for the  term of this sequence.",Algebra,2-algebra,sequences
" is an integer.
Write down all the values of  that satisfy ",Algebra,2-algebra,solving-inequalities
"
The graph of  is shown on the grid.

On the grid above, sketch the graph of .",Algebra,2-algebra,transformations-of-graphs
"A shop sells packets of envelopes.
There are 5 envelopes in a small packet.There are 20 envelopes in a large packet.
There is a total of  envelopes in  small packets and  large packets.
Write down a formula for  in terms of  and .",Algebra,2-algebra,forming-and-solving-equations
"
The region ,  shown shaded in the diagram, is bounded by four straight lines.
Write down the inequalities that define .
",Algebra,2-algebra,graphing-inequalities
"The straight line has equation 
The straight line  is perpendicular to  and passes through the point (9 , -1)
Find an equation for Give your answer in the form 
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Write down the average speed for the total journey.
................................... mph",Algebra,2-algebra,real-life-graphs
"Work out the total distance travelled by the toy car.
....................... m",Algebra,2-algebra,real-life-graphs
"There are only  red counters and  green counters in a bag.
A counter is taken at random from the bag.
The probability that the counter is green is 
The counter is put back in the bag.
 more red counters and  more green counters are put in the bag.A counter is taken at random from the bag.The probability that the counter is green is 
Find the number of red counters and the number of green counters that were in the bag originally.",Algebra,2-algebra,simultaneous-equations
"One of these is the graph of  for 
Circle the letter above the correct graph.

",Algebra,2-algebra,transformations-of-graphs
"The graph shows the speed of a vehicle during the first 40 seconds of motion.

Calculate the distance travelled by the vehicle during the 40 seconds.
...................................................... m",Algebra,2-algebra,real-life-graphs
"The diagram shows a cross placed on a number grid.



1
2
3
4
5
6
7
8
9
10


11
12
13
14
15
16
17
18
19
20


21
22
23
24
25
26
27
28
29
30


31
32
33
34
35
36
37
38
39
40


41
42
43
44
45
46
47
48
49
50


51
52
53
54
55
56
57
58
59
60




 is the product of the left and right numbers of the cross. is the product of the top and bottom numbers of the cross. is the middle number of the cross.
Show that when 
",Algebra,2-algebra,algebraic-proof
"Here is a rectangle.

Given that the area of the rectangle is less than find the range of possible values of 
",Algebra,2-algebra,solving-inequalities
"Use the formula .
Calculate  when  = 5,  = 10 and  = 3.
 = .............. ",Algebra,6-algebra,algebra-toolkit
"Show that, for 
   
can be written in the form   where ,  and  are integers.
",Algebra,2-algebra,algebraic-fractions
Work out an estimate for the distance fallen by the parachutist in the first 12 seconds after leaving the plane.Use 3 strips of equal width.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
" Find the value of  and the value of .  
 = ...............................................      = ...............................................     ",Algebra,2-algebra,completing-the-square
"The curve with equation  and the straight line with equation  intersect at the points and .
Work out the exact length of Show your working clearly and give your answer in the form  where  is an integer.
",Algebra,2-algebra,coordinate-geometry
"Solve  
Give your solutions to 3 significant figures.You must show your working.",Algebra,6-algebra,solving-quadratic-equations
"The curve with equation  and the line with equation  intersect at the points  and .
Find the coordinates of the midpoint of .Show your working clearly.
",Algebra,2-algebra,coordinate-geometry
"The points  and  lie in order on a straight line.
The coordinates of  are (2, 5)The coordinates of  are (4, )The coordinates of  are (, 17)
Given that , find the values of  and .",Algebra,2-algebra,coordinate-geometry
Work out an estimate for Usain's acceleration at 2 seconds.Give the units of your answer.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"The diagram shows parts of the graphs of y=f(x) and y=g(x)

Write down the value of x where the gradient of the curve y=g(x) is zero.",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Simplify completely      


",Algebra,2-algebra,algebraic-roots-and-indices
"A ball is thrown from a point 6 metres above the ground.
The graph shows the height of the ball above the ground, in metres.

Estimate the speed of the ball, in m/s, after 1 second.You must show your working.
...............................m/s",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
The instantaneous rate of decrease of the temperature of the water at time  seconds is equal to the average rate of decrease of the temperature of the water between  = 0 and  = 800.Find an estimate for the value of .You must show how you got your answer.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"The th term of a sequence is given by  where  and  are integers.
The 2nd term of the sequence is —2The 4th term of the sequence is 12
Find the 6th term of the sequence.",Algebra,2-algebra,sequences
"The volume of a sphere of radius  cm, where , is 5 cm3 more than the volume of a square-based cuboid with height 10 cm, width  cm and length  cm.
Use a suitable method to find  to 1 decimal place.
[In this question, you may use that the volume of a sphere of radius  is ]",Algebra,6-algebra,iteration
"3 kg of potatoes and 4 kg of carrots have a total cost of 440p.4 kg of potatoes and 3 kg of carrots have a total cost of 470p.
Work out the total cost of 1 kg of potatoes and 1 kg of carrots.",Algebra,2-algebra,forming-and-solving-equations
"The diagram below shows a 1cm coordinate grid.

Find an inequality that defines region A and another inequality that defines region B.
",Algebra,2-algebra,graphing-inequalities
"Sketch the graph of  , showing clearly the coordinates of any turning points.

",Algebra,2-algebra,graphs-of-functions
"Show that the lines  and  are parallel.
Do not use a graphical method.
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Given that   where 
find the value of .
= .............................................. ",Algebra,6-algebra,algebraic-roots-and-indices
"Prove that, for any position of the cross on the number grid above, 
",Algebra,2-algebra,algebraic-proof
"The region , shown shaded in the diagram, is bounded by three straight lines.

Write down the three inequalities that define the region .
",Algebra,2-algebra,graphing-inequalities
"The graph of  is drawn on the grid.

Write down the coordinates of the turning point of the graph.",Algebra,2-algebra,graphs-of-functions
"By drawing a suitable straight line on the grid, find an estimate for the solution of the equation 
............................................",Algebra,2-algebra,graphs-of-functions
"Simplify.

",Algebra,2-algebra,algebra-toolkit
"On the grid, draw the graph of  for values of  from 
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Solve this equation, giving your answers correct to 1 decimal place.

 = ........... or  = ...........",Algebra,6-algebra,algebraic-fractions
"The straight line  passes through point  (– 6, 2) and point  (5, 3)The straight line  is perpendicular to  and passes through the midpoint of  and .The line  intersects the line  at point .Calculate the area of triangle .

",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"At 5 pm Simon stopped for 30 minutes.Then he cycled home at a steady speed.It took him 1 hour 30 minutes to get home.
Complete the travel graph.",Algebra,2-algebra,real-life-graphs
"Find the th term of each sequence.
4,   8,   12,   16,   20,   .........",Algebra,2-algebra,sequences
"The coach stops in Luscoe for 15 minutes.The coach then returns to Dronston at a constant speed of 42 km/h.
Show this information on the travel graph.",Algebra,2-algebra,real-life-graphs
"i)
Find the th term of sequence B.
[1]

ii)
Find the value of  when the th term of sequence B is 8281.
[3]",Algebra,2-algebra,sequences
the th term.,Algebra,2-algebra,sequences
"Represent your solution set to part (a) on the number line below.

",Algebra,2-algebra,solving-inequalities
"







A sphere has radius 
A cone has
   radius    perpendicular height 
The sphere and the cone have the same volume.
Work out    radius of cone : perpendicular height of cone
Give your answer in the form where  and  are integers.",Algebra,6-algebra,forming-and-solving-equations
"Sketch the graph of  ,  indicating the coordinates of the turning point.  ",Algebra,2-algebra,completing-the-square
"Jim buys a plant of height 20 cm.
The graph shows how the height of the plant changes during the next 4 days.

Work out a formula for in terms of .
",Algebra,2-algebra,real-life-graphs
"Rana sells 192 cakes in the ratio    small : medium : large    =    7 : 6 : 11
The profit for one medium cake is twice the profit for one small cake.The profit for one large cake is three times the profit for one small cake.
Her total profit is £532.48
Work out the profit for one small cake.
£....................",Algebra,2-algebra,forming-and-solving-equations
"Solve the simultaneous equations
   
   ",Algebra,6-algebra,simultaneous-equations
"This is a sketch of the curve with the equation 
The only minimum point of the curve is at .

Write down the coordinates of the minimum point of the curve with the equation ",Algebra,2-algebra,transformations-of-graphs
"
The curve with equation  is translated so that the point at (0, 0) is mapped onto the point (4, 0).
Find an equation of the translated curve.",Algebra,2-algebra,transformations-of-graphs
"The graph of  is shown on the grids.
On this grid, sketch the graph of 
",Algebra,2-algebra,transformations-of-graphs
"
You can work out the amount of medicine, c ml, to give to a child by using the formula

 is the age of the child, in months. is an adult dose, in ml.
A child is 30 months old.An adult's dose is 40 ml.
Work out the amount of medicine you can give to the child.",Algebra,6-algebra,algebra-toolkit
"Solve 
 = .....................
",Algebra,2-algebra,linear-equations
"The function  is such that
 where  is a constant.
Given that 
work out the value of ",Algebra,2-algebra,functions
Show that  can be written in the form  where  is an integer.,Algebra,6-algebra,algebraic-fractions
"Show that, for 
   
can be written in the form   where ,  and  are integers.",Algebra,6-algebra,algebraic-fractions
"Prove that
  is a multiple of  
for all positive integer values of .",Algebra,6-algebra,algebraic-proof
Prove algebraically that the difference between the squares of any two consecutive integers is equal to the sum of these two integers.,Algebra,6-algebra,algebraic-proof
"The diagram shows a cross placed on a number grid.



1
2
3
4
5
6
7
8
9
10


11
12
13
14
15
16
17
18
19
20


21
22
23
24
25
26
27
28
29
30


31
32
33
34
35
36
37
38
39
40


41
42
43
44
45
46
47
48
49
50


51
52
53
54
55
56
57
58
59
60




 is the product of the left and right numbers of the cross. is the product of the top and bottom numbers of the cross. is the middle number of the cross.
Show that when ",Algebra,6-algebra,algebraic-proof
Factorise        ,Algebra,6-algebra,factorising
Factorise  ,Algebra,6-algebra,factorising
"The diagram shows a trapezium.

 =  cm.is the same length as . is twice the length of . is 4 cm longer than .
The perimeter of the trapezium is 38 cm.Work out the length of .",Algebra,6-algebra,forming-and-solving-equations
"On the grid, draw the graph of   for 

",Algebra,2-algebra,graphs-of-functions
" is the point with coordinates (100, 56).
Does point  lie on the straight line that passes through  and ?You must show how you work out your answer.",Algebra,2-algebra,coordinate-geometry
"Here are the first four terms of an arithmetic sequence.

Find an expression, in terms of , for the  term of this sequence.",Algebra,6-algebra,sequences
"Nuri says
   I think this animal must be able to move at over 20m/s!
Do you agree with Nuri?
Explain your decision.
",Algebra,2-algebra,real-life-graphs
"In all the following sequences, after the first two terms, the rule is to add the previous two terms to find the next term.
Write down the next two terms in this sequence.
1      1      2      3      5      8      13      ..........      .........",Algebra,6-algebra,simultaneous-equations
"Li has t toy bricks.She only has red bricks and blue bricks.Li picks two bricks, one after the other.If the first brick she picks is red, the probability that the second brick is red is .
If the first brick she picks is blue, the probability that the second brick is red is 
Calculate the value of t .
t = ......................................................... ",Algebra,6-algebra,simultaneous-equations
" is the point (2, 14) is the point (6, 8)is the point (2, 5)
Use gradients to show that angle  is not a right angle.
",Algebra,2-algebra,coordinate-geometry
"Solve  Show clear algebraic working.
 .......................................................",Algebra,2-algebra,linear-equations
Calculate the difference in Usain's acceleration between 2 and 6 seconds.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"
The diagram shows part of the curve with equation .The coordinates of the maximum point of the curve are (3, 5).
Write down the coordinates of the maximum point of the curve with equation
i)

[1]
ii)

[1]
iii)

[1]",Algebra,2-algebra,transformations-of-graphs
" is the function 
Find ",Algebra,2-algebra,functions
"Show that  .
",Algebra,2-algebra,algebraic-roots-and-indices
"Complete the table of values for 













 

 
 


",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"The diagram shows a sketch of the graph of 

Write down the coordinates of the point .",Algebra,2-algebra,transformations-of-graphs
Factorise fully          ,Algebra,2-algebra,factorising
"The line  crosses the -axis at the point  and the -axis at the point .
Find the -coordinate of  and the -coordinate of .",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"On the grid, draw the graph of  for values of  from 
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"By drawing a suitable straight line on the grid, find estimates for the solutions of the equation 
Show your working clearly.
Give your solutions correct to one decimal place.
",Algebra,2-algebra,graphs-of-functions
"The diagram shows part of a sketch of the curve 

Write down the coordinates of the point .",Algebra,2-algebra,graphs-of-functions
"On the grid show, by shading, the region that satisfies all three of the inequalities

Label the region .
",Algebra,2-algebra,graphing-inequalities
Write down the coordinates of the point .,Algebra,2-algebra,graphs-of-functions
" and are two points.
Point  has coordinates (—2, 4).Point  has coordinates (8, 9).
 is the midpoint of the line segment .
Find the coordinates of .",Algebra,2-algebra,coordinate-geometry
"Jane walked from her home to the ice rink.The travel graph for Jane's journey to the ice rink is shown below.

On the way to the ice rink Jane stopped at her friend's house.
How far is it from her friend's house to the ice rink?",Algebra,2-algebra,real-life-graphs
"Here is an inequality, in , shown on a number line.

Write down the inequality.",Algebra,2-algebra,solving-inequalities
Express the inverse function  in the form ,Algebra,2-algebra,functions
Simplify       ,Algebra,2-algebra,algebraic-roots-and-indices
" is the point (—4, 4) is the point (1, —5)
Find the gradient of .",Algebra,2-algebra,coordinate-geometry
Factorise             ,Algebra,6-algebra,factorising
"Simon went for a cycle ride.He left home at 2 pm.
The travel graph represents part of Simon's cycle ride.

At 3 pm Simon stopped for a rest.
How many minutes did he rest?",Algebra,2-algebra,real-life-graphs
"Here are the first four terms of a sequence of fractions.

The numerators of the fractions form the sequence of whole numbers The denominators of the fractions form the sequence of odd numbers 
Write down an expression, in terms of , for the  term of this sequence of fractions.
",Algebra,2-algebra,sequences
Simplify           ,Algebra,6-algebra,algebraic-roots-and-indices
Factorise        ,Algebra,6-algebra,factorising
Simplify     ,Algebra,6-algebra,algebraic-roots-and-indices
Simplify      ,Algebra,6-algebra,factorising
Factorise   ,Algebra,2-algebra,factorising
Factorise fully     ,Algebra,6-algebra,factorising
Factorise fully       ,Algebra,6-algebra,factorising
"If instead,
10 more boys and 1 more girl join, there would be the same number of boys and girls.Work out  and .
 = ...................
 = ...................",Algebra,6-algebra,forming-and-solving-equations
"Question 2   Simplify.  
Martina’s answer 
Martina’s error is .......................................................................................................................
Correct answer = ..........................................................",Algebra,6-algebra,algebra-toolkit
"Expand and simplify            


",Algebra,2-algebra,expanding-brackets
"
The lengths of the sides are in centimetres.
The area of triangle T1 is equal to the area of triangle T2.
Work out the value of , giving your answer in the form    where  and  are integers.",Algebra,2-algebra,solving-quadratic-equations
"Given that  and  are integers such that


and 
find all the possible values of .",Algebra,2-algebra,graphing-inequalities
Work out the value of .,Algebra,2-algebra,forming-and-solving-equations
"Julie and Liam write down the same number.
Julie multiplies the number by 5 and then adds 4 to the result.She writes down her answer.
Liam subtracts the number from 10He writes down his answer.
Julie's answer is two thirds of Liam's answer.
Work out the number that Julie and Liam started with.You must show your working.",Algebra,6-algebra,forming-and-solving-equations
"Circle the two roots of   



-5
-3
3
5



",Algebra,2-algebra,solving-quadratic-equations
Describe the acceleration of the car for each part of this journey.,Algebra,2-algebra,real-life-graphs
" is an integer greater than 
Prove algebraically that   is always an even number.",Algebra,6-algebra,algebraic-proof
"i)
Find Give your answer as simply as possible.
[3]

ii)
Solve 
[2]",Algebra,2-algebra,functions
" is a multiple of 5

Prove, using algebra, that  is always a multiple of 20
",Algebra,2-algebra,algebraic-proof
Explain the relationship between the values of  and  and the equation ,Algebra,2-algebra,iteration
"A sphere has radius  cm
An approximate value of  can be found using the iterative formula








The starting value is  
Work out the values of   and 
",Algebra,2-algebra,iteration
"Here is a rectangle and a right-angled triangle.

All measurements are in centimetres.The area of the rectangle is greater than the area of triangle.
Find the set of possible values of .",Algebra,6-algebra,forming-and-solving-equations
"Rearrange the equation to make x the subject.
y = 7x - 3
x = ..................................................... ",Algebra,6-algebra,rearranging-formulae
"The graph shows the depth,  cm, of water in a tank after  seconds.

Find the gradient of this graph.",Algebra,2-algebra,real-life-graphs
"The graph of  is shown on both grids below

On the grid above, sketch the graph of ",Algebra,2-algebra,transformations-of-graphs
"Here is a circle, centre , and the tangent to the circle at the point (4, 3) on the circle.

Find an equation of the tangent at the point .",Algebra,2-algebra,equation-of-a-circle
"
On this grid, sketch the graph of ",Algebra,2-algebra,transformations-of-graphs
"From 10.45 am to 11 am, Bradley cycled at an average speed of 18 km/h.
Work out the distance Bradley cycled from 10.45 am to 11 am.",Algebra,2-algebra,real-life-graphs
Expand and simplify       ,Algebra,2-algebra,expanding-brackets
Describe fully what your answer to part (a) represents.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Here are some graphs.

In the table below, match each equation with the letter of its graph.



Equation 
Graph



 



 



 



 


",Algebra,2-algebra,graphs-of-functions
"The number of rabbits on a farm at the end of month  is The number of rabbits at the end of the next month is given by 
At the end of March there are 200 rabbits on the farm.
Work out how many rabbits there will be on the farm at the end of June.",Algebra,6-algebra,sequences
"
Work out the ratio 
",Algebra,2-algebra,algebra-toolkit
Simplify       ,Algebra,2-algebra,algebraic-roots-and-indices
"The distance-time graph shows information about part of a car journey.

Use the graph to estimate the speed of the car at time 5 seconds.",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
Solve         ,Algebra,6-algebra,linear-equations
"On the grid, shade the region that satisfies all these inequalities.

Label the region .
",Algebra,2-algebra,graphing-inequalities
"The equation of a straight line is    
Circle the point where the line crosses the -axis.




(0, 8)
(12, 0)
(0, 12)
(8, 0)



",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"The th term of a different number sequence is given by 
Write down the first 3 terms of this sequence.",Algebra,2-algebra,sequences
Describe fully the graph which has the equation x2 + y2 = 9.,Algebra,2-algebra,equation-of-a-circle
"Here is a right-angled triangle.

All measurements are in centimetres.The area of the triangle is 2.5 cm2 .
Find the perimeter of the triangle.Give your answer correct to 3 significant figures.You must show all of your working.",Algebra,2-algebra,forming-and-solving-equations
"Write  in the form . 
",Algebra,2-algebra,completing-the-square
"The number of bees in a beehive at the start of year  is The number of bees in the beehive at the start of the following year is given by 

At the start of 2015 there were 9500 bees in the beehive.
How many bees will there be in the beehive at the start of 2018?",Algebra,2-algebra,iteration
"The equation of circle  is The circle  is translated by the vector  to give circle .
Draw a sketch of circle .
Label with coordinates   the centre of circle    and any points of intersection with the -axis.",Algebra,2-algebra,equation-of-a-circle
"Show that the equation  has a solution between 1 and 2.
",Algebra,6-algebra,iteration
"Here is a speed-time graph for a train.

Work out an estimate for the distance the train travelled in the first 20 seconds.Use 4 strips of equal width.",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"On this grid, sketch the graph of 
",Algebra,2-algebra,transformations-of-graphs
"The graph shows the speed of a car, in metres per second, during the first 20 seconds of a journey.

Work out an estimate for the distance the car travelled in the first 20 seconds.Use 4 strips of equal width.",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Here are four graphs.

The graphs represent four different types of function .
Match each description of the function in the table to the letter of its graph.



Description of function
Graph


 is inversely proportional to 
 


 is a trigonometrical function
 


 is an exponential function
 


 is directly proportional to 
 


",Algebra,2-algebra,graphs-of-functions
Solve           ,Algebra,2-algebra,expanding-brackets
"At the start of year , the number of animals in a population is At the start of the following year, the number of animals in the population is , where

At the start of 2017 the number of animals in the population was 4000At the start of 2019 the number of animals in the population was 3610Find the value of the constant .
",Algebra,2-algebra,iteration
"Find the other solution. 
 = ..................................................",Algebra,2-algebra,algebra-toolkit
"A sphere has radius  cm
An approximate value of  can be found using the formula








The starting value is  
Work out the values of   and 
",Algebra,6-algebra,sequences
"Prove that , for all positive values of ,
",Algebra,2-algebra,algebraic-proof
Make  the subject of the formula      ,Algebra,2-algebra,rearranging-formulae
Express   in the form   where  and  are integers.,Algebra,6-algebra,completing-the-square
"Karol runs in a race.
The graph shows her speed, in metres per second,  seconds after the start of the race.

Calculate an estimate for the gradient of the graph when You must show how you get your answer.",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Hence, or otherwise, simplify fully ",Algebra,2-algebra,factorising
"  can be written as a single fraction in the form 
where and  are integers.
Work out the value of  and the value of .
",Algebra,2-algebra,algebraic-fractions
"The functions  and  are such that
 where  and  are constants.

Find the value of  and the value of .",Algebra,2-algebra,functions
"Circle the equation of the line that is parallel to  











",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"On the grid, draw the graph of 
",Algebra,2-algebra,graphs-of-functions
"Write
      
as a single fraction in its simplest form.You must show your working.",Algebra,6-algebra,algebraic-fractions
"Starting with , use the iteration formula  three times to find an estimate for the solution of ",Algebra,2-algebra,iteration
"Factorise   

",Algebra,2-algebra,factorising
"The graph of the curve  with equation  is transformed to give the graph of the curve  with equation 
The point on  with coordinates  is mapped to the point  on .
Find the coordinates of .",Algebra,2-algebra,transformations-of-graphs
"Solve  
You must show your working.
=.....................",Algebra,2-algebra,algebraic-fractions
"Solve the simultaneous equations

Show clear algebraic working.

",Algebra,2-algebra,simultaneous-equations
"
Work out Give your answer in the form        where  and  are integers.
",Algebra,2-algebra,functions
"Express  as a single fraction.
Give your answer in its simplest form.
",Algebra,2-algebra,algebraic-fractions
Expand and simplify ,Algebra,6-algebra,expanding-brackets
"Given that   and that 
find an expression for  in terms of .Give your expression as a single fraction in its simplest form.
",Algebra,2-algebra,algebraic-fractions
" is a five-sided shape.


 is a rectangle. is an equilateral triangle.The perimeter of is 100 cm.The area of is  cm2
Show that 
",Algebra,2-algebra,forming-and-solving-equations
Hence find an equation of the tangent to the curve at .Give your answer in the form  .,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Using algebra, prove that, given any 3 consecutive even numbers, the difference between the square of the largest number and the square of the smallest number is always 8 times the middle number.",Algebra,6-algebra,algebraic-proof
"Solve 
 ...................................... ",Algebra,6-algebra,expanding-brackets
"Solve the simultaneous equations

Show clear algebraic working.



",Algebra,6-algebra,simultaneous-equations
Prove algebraically that the difference between the squares of any two consecutive odd numbers is always a multiple of 8.,Algebra,6-algebra,algebraic-proof
" andare positive integers.
 is expanded and simplified.The answer is  where k is a positive integer.
Work out the smallest possible value of .
",Algebra,2-algebra,expanding-brackets
"Prove that the difference between a whole number and the cube of this number is always a multiple of 
",Algebra,2-algebra,algebraic-proof
"The curve  is transformed to the curve  by a translation of Find an equation for the curve .

",Algebra,2-algebra,graphs-of-functions
"The line  is the line of symmetry of the curve with equation 
Using your answer to part (a) or otherwise, write down an equation of .
",Algebra,2-algebra,completing-the-square
Show that the equation  has a solution between  and .,Algebra,6-algebra,iteration
Simplify  ,Algebra,6-algebra,algebraic-fractions
Simplify fully  ,Algebra,6-algebra,factorising
"The equation of a curve is 
Circle the coordinates of the turning point.



(5, 3)
(5, –3)
(3, 5)
(–3, 5)



",Algebra,6-algebra,completing-the-square
"Show, by shading on the grid, the region defined by all three of the inequalities
   
Label your region .
",Algebra,2-algebra,graphing-inequalities
"Work out the solution to 5 decimal places.
 = ......................
",Algebra,2-algebra,iteration
"
Find the value of  ,  and .
 = ..................
 = ..................
 = ..................
 = ..................",Algebra,6-algebra,expanding-brackets
"Write x2 + 8x + 3  in the form (x + a)2 - b.
",Algebra,2-algebra,completing-the-square
"Solve 
Show your solution on the number line.



",Algebra,2-algebra,solving-inequalities
"The diagram shows the lines  and 

The region R satisfies these inequalities.
                  
By drawing a third straight line, find and label the region R that satisfies these inequalities.
",Algebra,2-algebra,graphing-inequalities
Prove that  (2x + 1)(3x + 2) + x (3x + 5) + 2  is a perfect square.,Algebra,6-algebra,algebraic-proof
"Here is another function.

Find the inverse function of function B.
",Algebra,6-algebra,functions
Prove that the mean of any four consecutive even integers is an integer.,Algebra,6-algebra,algebraic-proof
"The expression  can be written in the form  for all values of .
Find the value of  and the value of .",Algebra,2-algebra,completing-the-square
Write       as a single fraction in its simplest form.,Algebra,2-algebra,algebraic-fractions
"Izzy runs an 80-metre race in 14 seconds.
   During the first 6 seconds her speed increases at a constant rate.   During the last 8 seconds her speed increases at a different constant rate.   Her speed at 14 seconds is 2 m/s more than her speed at 6 seconds.
Here is a sketch of her speed-time graph.

Work out her acceleration during the last 8 seconds.
State the units of your answer.
",Algebra,2-algebra,real-life-graphs
"The graph shows information about the speed of a vehicle during the final 50 seconds of a journey.At the start of the 50 seconds the speed is k metres per second.The distance travelled during the 50 seconds is 1.35 kilometres.

Work out the average speed of the vehicle during the 50 seconds.Give your answer in metres per second.
................... m/s",Algebra,2-algebra,real-life-graphs
